common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Saunders's gull,Vulnerable,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus saundersi,,Chroicocephalus saundersi,chroicocephalus_saundersi.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Saunders%27s_Gull_-_Hong_Kong_2.jpg/220px-Saunders%27s_Gull_-_Hong_Kong_2.jpg,images/chroicocephalus_saundersi,japan,,,false,Saunders%27_Gull
Savannah sparrow,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Passerculus,Passerculus sandwichensis,,Passerculus sandwichensis,passerculus_sandwichensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Passerculus_sandwichensis_crop.jpg/220px-Passerculus_sandwichensis_crop.jpg,images/passerculus_sandwichensis,,,,false,Savannah_Sparrow
Savi's pipistrelle,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Hypsugo,Hypsugo savii,,Hypsugo savii,hypsugo_savii.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Hypsugo-savi-VE-Trtar.jpg/220px-Hypsugo-savi-VE-Trtar.jpg,images/hypsugo_savii,cape verde|japan,,,false,Savi%27s_Pipistrelle
Common bent-wing bat,,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,Miniopterus schreibersii,,Miniopterus schreibersii,miniopterus_schreibersii.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Miniopterus_schreibersii_dasythrix.jpg/220px-Miniopterus_schreibersii_dasythrix.jpg,images/miniopterus_schreibersii,kenya|cameroon|ethiopia|nigeria|guinea|tunisia|libya|algeria|morocco|liberia|sierra leone|comoros|madagascar|japan,,,false,Schreiber%27s_Long-fingered_Bat
Von Schrenck's bittern,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus eurhythmus,,Ixobrychus eurhythmus,ixobrychus_eurhythmus.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Ixobrychus_eurhythmus_by_OpenCage.jpg/220px-Ixobrychus_eurhythmus_by_OpenCage.jpg,images/ixobrychus_eurhythmus,japan,,,false,Schrenk%27s_Little_Bittern
Sandpiper,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/62/Calidris-alpina-001_edit.jpg/240px-Calidris-alpina-001_edit.jpg,images/,,,,false,Scolopacidae
Sea otter,Endangered,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra lutris,,Enhydra lutris,enhydra_lutris.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Sea_otter_cropped.jpg/250px-Sea_otter_cropped.jpg,images/enhydra_lutris,japan,,diurnal,false,Sea_Otter
Sharp-tailed sandpiper,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris acuminata,,Calidris acuminata,calidris_acuminata.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Calidris_acuminata_-_Hexham_Swamp.jpg/220px-Calidris_acuminata_-_Hexham_Swamp.jpg,images/calidris_acuminata,,,,false,Sharp-tailed_Sandpiper
Shinto shrew,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex shinto,,Sorex shinto,sorex_shinto.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Shinto_Shrew_area.png/220px-Shinto_Shrew_area.png,images/sorex_shinto,kenya|cameroon|congo|japan,,,true,Shinto_Shrew
Short-billed dowitcher,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,Limnodromus griseus,,Limnodromus griseus,limnodromus_griseus.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/16/Limnodromus_griseus.jpg/220px-Limnodromus_griseus.jpg,images/limnodromus_griseus,,,,false,Short-billed_Dowitcher
Short-eared owl,Least Concern,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,Asio flammeus,asio_flammeus.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Asio_flammeus_-Fazenda_Campo_de_Ouro%2C_Piraju%2C_Sao_Paulo%2C_Brasil-8.jpg/220px-Asio_flammeus_-Fazenda_Campo_de_Ouro%2C_Piraju%2C_Sao_Paulo%2C_Brasil-8.jpg,images/asio_flammeus,,,diurnal,false,Short-eared_Owl
Short-tailed albatross,Vulnerable,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Phoebastria albatrus,,Phoebastria albatrus,phoebastria_albatrus.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Short_tailed_Albatross1.jpg/300px-Short_tailed_Albatross1.jpg,images/phoebastria_albatrus,japan,,,false,Short-tailed_Albatross
Short-tailed shearwater,Least Concern,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus tenuirostris,,Puffinus tenuirostris,puffinus_tenuirostris.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Puffinus_tenuirostris_-_SE_Tasmania.jpg/220px-Puffinus_tenuirostris_-_SE_Tasmania.jpg,images/puffinus_tenuirostris,,,,false,Short-tailed_Shearwater
Greater short-toed lark,Least Concern,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calandrella,Calandrella brachydactyla,,Calandrella brachydactyla,calandrella_brachydactyla.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Calandrella_brachydactyla1.jpg/240px-Calandrella_brachydactyla1.jpg,images/calandrella_brachydactyla,cameroon|egypt|western sahara,,,false,Short-toed_Lark
Siberian accentor,Least Concern,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella montanella,,Prunella montanella,prunella_montanella.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Prunella_modularis_montanella.jpg/240px-Prunella_modularis_montanella.jpg,images/prunella_montanella,,,,false,Siberian_Accentor
Siberian blue robin,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,Luscinia cyane,,Luscinia cyane,luscinia_cyane.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Luscinia_cyane_-_Khao_Yai.jpg/220px-Luscinia_cyane_-_Khao_Yai.jpg,images/luscinia_cyane,japan,,,false,Siberian_Blue_Robin
Siberian chipmunk,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Eutamias,Eutamias sibiricus,,Eutamias sibiricus,eutamias_sibiricus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Streifenhoernchen.jpg/220px-Streifenhoernchen.jpg,images/eutamias_sibiricus,japan,,diurnal,false,Siberian_Chipmunk
Siberian crane,Critically Endangered,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus leucogeranus,,Grus leucogeranus,grus_leucogeranus.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Schneekranich_Grus_leucogeranus_090501_We_147.JPG/220px-Schneekranich_Grus_leucogeranus_090501_We_147.JPG,images/grus_leucogeranus,egypt|japan,,diurnal,false,Siberian_Crane
Dark-sided flycatcher,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,Muscicapa sibirica,,Muscicapa sibirica,muscicapa_sibirica.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Muscicapa_sibirica.jpg/220px-Muscicapa_sibirica.jpg,images/muscicapa_sibirica,japan,,,false,Siberian_Flycatcher
Siberian flying squirrel,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Pteromys,Pteromys volans,,Pteromys volans,pteromys_volans.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Pteromys_volans.jpg/200px-Pteromys_volans.jpg,images/pteromys_volans,,,nocturnal,false,Siberian_Flying_Squirrel
Siberian thrush,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Geokichla,Geokichla sibirica,,Geokichla sibirica,geokichla_sibirica.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/30/Zoothera_sibirica_431.jpg/220px-Zoothera_sibirica_431.jpg,images/geokichla_sibirica,,,,false,Siberian_Ground_Thrush
Meadow bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza cioides,,Emberiza cioides,emberiza_cioides.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Emberiza_cioides_male.JPG/220px-Emberiza_cioides_male.JPG,images/emberiza_cioides,japan,,,false,Siberian_Meadow_Bunting
Siberian rubythroat,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,Luscinia calliope,,Luscinia calliope,luscinia_calliope.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Luscinia_calliope_-_Pak_Chong_2.jpg/220px-Luscinia_calliope_-_Pak_Chong_2.jpg,images/luscinia_calliope,,,,false,Siberian_Rubythroat
Siberian stonechat,,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola maurus,,Saxicola maurus,saxicola_maurus.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Siberian_Stonechat_%28Saxicola_maura%29-_Male_at_Bharatpur_I_IMG_5768.jpg/240px-Siberian_Stonechat_%28Saxicola_maura%29-_Male_at_Bharatpur_I_IMG_5768.jpg,images/saxicola_maurus,japan,,,false,Siberian_Stonechat
Sika deer,Least Concern,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus nippon,,Cervus nippon,cervus_nippon.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/SikaDeerM1.jpg/250px-SikaDeerM1.jpg,images/cervus_nippon,morocco|niger|japan,,nocturnal,false,Sika_Deer
Alauda,,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Alauda_arvensis_2.jpg/250px-Alauda_arvensis_2.jpg,images/,cape verde,,,true,Skylark
Slaty-backed gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Larus schistisagus,,Larus schistisagus,larus_schistisagus.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ooseguro-kamome.jpg/220px-Ooseguro-kamome.jpg,images/larus_schistisagus,,,,false,Slaty-backed_Gull
Slaty-legged crake,Least Concern,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallina,Rallina eurizonoides,,Rallina eurizonoides,rallina_eurizonoides.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Slaty-legged_Crake_%28_Rallina_eurizonoides%29.jpg/220px-Slaty-legged_Crake_%28_Rallina_eurizonoides%29.jpg,images/rallina_eurizonoides,,,,false,Slaty-legged_Crake
Horned grebe,Least Concern,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps auritus,,Podiceps auritus,podiceps_auritus.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Horned_grebe_%282%29_-_%28Podiceps_auritus%29.JPG/220px-Horned_grebe_%282%29_-_%28Podiceps_auritus%29.JPG,images/podiceps_auritus,madagascar,,,false,Slavonian_Grebe
Slender-billed curlew,Critically Endangered,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,Numenius tenuirostris,,Numenius tenuirostris,numenius_tenuirostris.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Numenius_tenuirostris.jpg/250px-Numenius_tenuirostris.jpg,images/numenius_tenuirostris,tunisia|morocco|japan,,,false,Slender-billed_Curlew
Slender-billed gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Chroicocephalus genei,,Chroicocephalus genei,chroicocephalus_genei.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Larus_genei.jpg/250px-Larus_genei.jpg,images/chroicocephalus_genei,senegal|algeria|western sahara,,,false,Slender-billed_Gull
Slender shrew,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex gracillimus,,Sorex gracillimus,sorex_gracillimus.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Slender_Shrew_area.png/220px-Slender_Shrew_area.png,images/sorex_gracillimus,kenya|cameroon|congo,,,false,Slender_Shrew
Small Asian mongoose,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes javanicus,,Herpestes javanicus,herpestes_javanicus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Small_asian_mongoose.jpg/220px-Small_asian_mongoose.jpg,images/herpestes_javanicus,japan,,,false,Small_Indian_Mongoose
Small Japanese field mouse,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus argenteus,,Apodemus argenteus,apodemus_argenteus.html,,images/apodemus_argenteus,senegal|japan,,,false,Small_Japanese_Field_Mouse
Small Japanese mole,Least Concern,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Mogera,Mogera imaizumii,,Mogera imaizumii,mogera_imaizumii.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Mogera_imaizumii.jpg/220px-Mogera_imaizumii.jpg,images/mogera_imaizumii,kenya|cameroon|congo|japan,,,true,Small_Japanese_Mole
Smew,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,Mergellus albellus,,Mergellus albellus,mergellus_albellus.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Smew.both.arp.600pix.jpg/220px-Smew.both.arp.600pix.jpg,images/mergellus_albellus,japan,,,false,Smew
Smith's vole,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes smithii,,Myodes smithii,myodes_smithii.html,,images/myodes_smithii,japan,,,true,Smith%27s_Vole
Snow bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Calcariidae,Plectrophenax,Plectrophenax nivalis,,Plectrophenax nivalis,plectrophenax_nivalis.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Plectrophenax_nivalis1.jpg/220px-Plectrophenax_nivalis1.jpg,images/plectrophenax_nivalis,,,,false,Snow_Bunting
Snow goose,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,Chen caerulescens,,Chen caerulescens,chen_caerulescens.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Chen_caerulescens_32398.JPG/250px-Chen_caerulescens_32398.JPG,images/chen_caerulescens,,,,false,Snow_Goose
Snowy owl,Least Concern,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus,,Bubo scandiacus,bubo_scandiacus.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Snowy_Owl_-_Schnee-Eule.jpg/220px-Snowy_Owl_-_Schnee-Eule.jpg,images/bubo_scandiacus,,,,false,Snowy_Owl
Providence petrel,Vulnerable,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma solandri,,Pterodroma solandri,pterodroma_solandri.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/LordHoweIsland_MtGower_210.JPG/220px-LordHoweIsland_MtGower_210.JPG,images/pterodroma_solandri,,,,false,Solander%27s_Petrel
Solitary snipe,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago solitaria,,Gallinago solitaria,gallinago_solitaria.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Solitary_Snipe_%28Gallinago_solitaria%29.jpg/250px-Solitary_Snipe_%28Gallinago_solitaria%29.jpg,images/gallinago_solitaria,japan,,,false,Solitary_Snipe
Song thrush,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus philomelos,,Turdus philomelos,turdus_philomelos.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Song_Thrush_%28Turdus_philomelos%29_singing_in_tree.jpg/250px-Song_Thrush_%28Turdus_philomelos%29_singing_in_tree.jpg,images/turdus_philomelos,,,,false,Song_Thrush
Sooty shearwater,Near Threatened,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,"P." griseus,,Puffinus griseus,puffinus_griseus.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Puffinus_griseus_in_flight_-_SE_Tasmania.jpg/220px-Puffinus_griseus_in_flight_-_SE_Tasmania.jpg,images/puffinus_griseus,japan,,,false,Sooty_Shearwater
Sooty tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Onychoprion,Onychoprion fuscatus,,Onychoprion fuscatus,onychoprion_fuscatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Sterna_fuscata.JPG/220px-Sterna_fuscata.JPG,images/onychoprion_fuscatus,cameroon|guinea|seychelles,,,false,Sooty_Tern
South polar skua,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius maccormicki,,Stercorarius maccormicki,stercorarius_maccormicki.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Skua_antarctique_-_South_Polar_Skua.jpg/250px-Skua_antarctique_-_South_Polar_Skua.jpg,images/stercorarius_maccormicki,,,,false,South_Polar_Skua
Southeast Asian long-fingered bat,Endangered,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Miniopterus,Miniopterus fuscus,,Miniopterus fuscus,miniopterus_fuscus.html,,images/miniopterus_fuscus,comoros|madagascar|japan,,,false,Southeast_Asian_Long-fingered_Bat
Spectacled guillemot,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,Cepphus carbo,,Cepphus carbo,cepphus_carbo.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/SpectacledGuillemot.jpg/220px-SpectacledGuillemot.jpg,images/cepphus_carbo,japan,,,false,Spectacled_Guillemot
Spectacled tern,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Sternidae,Onychoprion,Onychoprion lunatus,,Onychoprion lunatus,onychoprion_lunatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/GRAT_nest.JPG/240px-GRAT_nest.JPG,images/onychoprion_lunatus,guinea,,,false,Spectacled_Tern
Sperm whale,Vulnerable,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Physeter macrocephalus,,Physeter macrocephalus,physeter_macrocephalus.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Mother_and_baby_sperm_whale.jpg/220px-Mother_and_baby_sperm_whale.jpg,images/physeter_macrocephalus,south africa|japan,,,false,Sperm_Whale
Spoon-billed sandpiper,Critically Endangered,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Eurynorhynchus,Eurynorhynchus pygmeus,,Eurynorhynchus pygmeus,eurynorhynchus_pygmeus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Eurynorhynchus_pygmeus_2_-_Pak_Thale.jpg/220px-Eurynorhynchus_pygmeus_2_-_Pak_Thale.jpg,images/eurynorhynchus_pygmeus,japan,,,false,Spoon-billed_Sandpiper
Spot-billed duck,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas poecilorhyncha,,Anas poecilorhyncha,anas_poecilorhyncha.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Indian-spot-billed-duck.jpg/220px-Indian-spot-billed-duck.jpg,images/anas_poecilorhyncha,japan,,,false,Spot-billed_Duck
Spot-billed pelican,Near Threatened,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus philippensis,,Pelecanus philippensis,pelecanus_philippensis.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Spot-billed_Pelican.jpg/220px-Spot-billed_Pelican.jpg,images/pelecanus_philippensis,,,,false,Spot-billed_Pelican
Nordmann's greenshank,Endangered,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa guttifer,,Tringa guttifer,tringa_guttifer.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Spotted_Greenshank.jpg/220px-Spotted_Greenshank.jpg,images/tringa_guttifer,japan,,,false,Spotted_Greenshank
Spotted nutcracker,Least Concern,Animalia,Chordata,Aves,Passeriformes,Corvidae,Nucifraga,Nucifraga caryocatactes,,Nucifraga caryocatactes,nucifraga_caryocatactes.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Spotted_Nutcracker.jpg/220px-Spotted_Nutcracker.jpg,images/nucifraga_caryocatactes,japan,,,false,Spotted_Nutcracker
Spotted redshank,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa erythropus,,Tringa erythropus,tringa_erythropus.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Tringa_erythropus_-_Laem_Pak_Bia.jpg/250px-Tringa_erythropus_-_Laem_Pak_Bia.jpg,images/tringa_erythropus,cameroon|western sahara,,,false,Spotted_Redshank
Spotted seal,Data Deficient,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca largha,,Phoca largha,phoca_largha.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Phoca_largha1.jpg/220px-Phoca_largha1.jpg,images/phoca_largha,japan,,,false,Spotted_Seal
Stejneger's beaked whale,Data Deficient,,,,,,,,,Mesoplodon stejnegeri,mesoplodon_stejnegeri.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Stejneger%27s_beaked_whale_size.svg/220px-Stejneger%27s_beaked_whale_size.svg.png,images/mesoplodon_stejnegeri,japan,,,false,Stejneger%27s_Beaked_Whale
Stejneger's petrel,Vulnerable,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma longirostris,,Pterodroma longirostris,pterodroma_longirostris.html,,images/pterodroma_longirostris,japan,,,false,Stejneger%27s_Petrel
Tristram's storm petrel,Near Threatened,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma tristrami,,Oceanodroma tristrami,oceanodroma_tristrami.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Tristams_storm_petrel.JPG/220px-Tristams_storm_petrel.JPG,images/oceanodroma_tristrami,japan,,nocturnal,false,Stejneger%27s_Storm-petrel
Steller's eider,Vulnerable,Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,Polysticta stelleri,,Polysticta stelleri,polysticta_stelleri.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Stellersdrake2.jpg/220px-Stellersdrake2.jpg,images/polysticta_stelleri,,,,false,Steller%27s_Eider
Steller's sea eagle,Vulnerable,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Haliaeetus,Haliaeetus pelagicus,,Haliaeetus pelagicus,haliaeetus_pelagicus.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Haliaeetus_pelagicus_-Heidelberg_Zoo%2C_Germany-8a.jpg/220px-Haliaeetus_pelagicus_-Heidelberg_Zoo%2C_Germany-8a.jpg,images/haliaeetus_pelagicus,guinea|niger|madagascar|japan,,,false,Steller%27s_Sea-eagle
Steller sea lion,Near Threatened,Animalia,Chordata,Mammalia,Carnivora,Otariidae,Eumetopias,Eumetopias jubatus,,Eumetopias jubatus,eumetopias_jubatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Steller_sea_lions_%28Eumetopias_jubatus%29_on_rocks.jpg/300px-Steller_sea_lions_%28Eumetopias_jubatus%29_on_rocks.jpg,images/eumetopias_jubatus,japan,,,false,Steller_Sea_Lion
Skua,,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stercorarius_pomarinusPCCA20070623-3985B.jpg/250px-Stercorarius_pomarinusPCCA20070623-3985B.jpg,images/,,,,false,Stercorariidae
Tern,,Animalia,Chordata,Aves,Charadriiformes,Sternidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Crested_tern444_edit.jpg/220px-Crested_tern444_edit.jpg,images/,gambia|senegal|niger,,,false,Sternidae
Stilt sandpiper,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris himantopus,,Calidris himantopus,calidris_himantopus.html,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Calidris_himantopus.jpg/220px-Calidris_himantopus.jpg,images/calidris_himantopus,japan,,,false,Stilt_Sandpiper
Stoat,Least Concern,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela erminea,,Mustela erminea,mustela_erminea.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Mustela_erminea_upright.jpg/220px-Mustela_erminea_upright.jpg,images/mustela_erminea,japan,,,false,Stoat
Streaked shearwater,Least Concern,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,Calonectris leucomelas,,Calonectris leucomelas,calonectris_leucomelas.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Streaked_shearwater_sitting.jpg/220px-Streaked_shearwater_sitting.jpg,images/calonectris_leucomelas,japan,,,true,Streaked_Shearwater
Striated heron,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides striata,,Butorides striata,butorides_striata.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Butorides_striata_-_Laem_Pak_Bia.jpg/220px-Butorides_striata_-_Laem_Pak_Bia.jpg,images/butorides_striata,cameroon|japan,,,false,Striated_Heron
True owl,,,,,,,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Eastern_Screech_Owl.jpg/220px-Eastern_Screech_Owl.jpg,images/,,,nocturnal,false,Strigidae
Striped dolphin,Least Concern,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,Stenella coeruleoalba,,Stenella coeruleoalba,stenella_coeruleoalba.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/StripedDolpin.jpg/220px-StripedDolpin.jpg,images/stenella_coeruleoalba,japan,,,false,Striped_Dolphin
Sulidae,,Animalia,Chordata,Aves,Suliformes,Sulidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Brown_boobytern.JPG/220px-Brown_boobytern.JPG,images/,,,,false,Sulidae
Surf scoter,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,Melanitta perspicillata,,Melanitta perspicillata,melanitta_perspicillata.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Melanitta_perspicillata.jpg/220px-Melanitta_perspicillata.jpg,images/melanitta_perspicillata,,,,false,Surf_Scoter
Swan goose,Vulnerable,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser cygnoides,,Anser cygnoides,anser_cygnoides.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Anser_cygnoides-Beijing.jpg/220px-Anser_cygnoides-Beijing.jpg,images/anser_cygnoides,japan,,,false,Swan_Goose
Swinhoe's rail,Vulnerable,Animalia,Chordata,Aves,Gruiformes,Rallidae,Coturnicops,Coturnicops exquisitus,,Coturnicops exquisitus,coturnicops_exquisitus.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/PorzanaExquisitaKeulemans.jpg/220px-PorzanaExquisitaKeulemans.jpg,images/coturnicops_exquisitus,japan,,,false,Swinhoe%27s_Rail
Swinhoe's snipe,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Gallinago megala,,Gallinago megala,gallinago_megala.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Gallinago_megala.jpg/220px-Gallinago_megala.jpg,images/gallinago_megala,guinea|japan,,,false,Swinhoe%27s_Snipe
