common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Gray's grasshopper warbler,Least Concern,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella fasciolata,,Locustella fasciolata,locustella_fasciolata.html,,images/locustella_fasciolata,,,,false,Gray%27s_Grasshopper_Warbler
Gray whale,Least Concern,Animalia,Chordata,Mammalia,Cetacea,Eschrichtiidae,Eschrichtius,Eschrichtius robustus,,Eschrichtius robustus,eschrichtius_robustus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Ballena_gris_adulta_con_su_ballenato.jpg/220px-Ballena_gris_adulta_con_su_ballenato.jpg,images/eschrichtius_robustus,namibia|japan,,,false,Gray_Whale
Pallas's gull,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Laridae,Ichthyaetus,Ichthyaetus ichthyaetus,,Ichthyaetus ichthyaetus,ichthyaetus_ichthyaetus.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Pallas%27s_Gull_%28Larus_ichthyaetus%29_W_IMG_6665.jpg/220px-Pallas%27s_Gull_%28Larus_ichthyaetus%29_W_IMG_6665.jpg,images/ichthyaetus_ichthyaetus,tanzania|rwanda|burundi|uganda|kenya|namibia|south africa,,,true,Great_Black-headed_Gull
Great bustard,Vulnerable,Animalia,Chordata,Aves,Gruiformes,Otididae,Otis,Otis tarda,,Otis tarda,otis_tarda.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Greatbustard.jpg/250px-Greatbustard.jpg,images/otis_tarda,egypt|tunisia|algeria|morocco|japan,,,false,Great_Bustard
Great cormorant,Least Concern,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo,,Phalacrocorax carbo,phalacrocorax_carbo.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Phalacrocorax_carbo_Vic.jpg/220px-Phalacrocorax_carbo_Vic.jpg,images/phalacrocorax_carbo,tanzania|rwanda|burundi|uganda|kenya|western sahara|japan,,,false,Great_Cormorant
Great crested grebe,Least Concern,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,,Podiceps cristatus,podiceps_cristatus.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Podiceps_cristatus_2_-_Lake_Dulverton.jpg/220px-Podiceps_cristatus_2_-_Lake_Dulverton.jpg,images/podiceps_cristatus,zambia|madagascar,,,false,Great_Crested_Grebe
Great frigatebird,Least Concern,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,Fregata minor,,Fregata minor,fregata_minor.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Male_greater_frigate_bird_displaying.jpg/220px-Male_greater_frigate_bird_displaying.jpg,images/fregata_minor,mauritius,,,false,Great_Frigatebird
Great grey shrike,Least Concern,Animalia,Chordata,Aves,,Laniidae,Lanius,Lanius excubitor,,Lanius excubitor,lanius_excubitor.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Lanius_excubitor_1_%28Marek_Szczepanek%29.jpg/260px-Lanius_excubitor_1_%28Marek_Szczepanek%29.jpg,images/lanius_excubitor,congo,,,false,Great_Grey_Shrike
Great knot,Vulnerable,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris tenuirostris,,Calidris tenuirostris,calidris_tenuirostris.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Calidris_tenuirostris_-_Laem_Phak_Bia.jpg/220px-Calidris_tenuirostris_-_Laem_Phak_Bia.jpg,images/calidris_tenuirostris,,,,false,Great_Knot
Great reed warbler,Least Concern,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus arundinaceus,,Acrocephalus arundinaceus,acrocephalus_arundinaceus.html,//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg/240px-Drosselrohrs%C3%A4nger_Great_reed_warbler.jpg,images/acrocephalus_arundinaceus,tanzania|rwanda|burundi|uganda|kenya|cameroon|ivory coast|western sahara,,,false,Great_Reed_Warbler
Great spotted woodpecker,Least Concern,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos major,,Dendrocopos major,dendrocopos_major.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Great_Spotted_woodpecker.jpg/220px-Great_Spotted_woodpecker.jpg,images/dendrocopos_major,japan,,,false,Great_Spotted_Woodpecker
Great tit,Least Concern,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,,Parus major,parus_major.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Parus_major_2_Luc_Viatour.jpg/250px-Parus_major_2_Luc_Viatour.jpg,images/parus_major,egypt|tunisia|algeria|morocco|japan,,,false,Great_Tit
Great white pelican,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus onocrotalus,,Pelecanus onocrotalus,pelecanus_onocrotalus.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Whitepelican_edit_shadowlift.jpg/220px-Whitepelican_edit_shadowlift.jpg,images/pelecanus_onocrotalus,tanzania|cameroon|ethiopia|namibia|south africa|chad|western sahara,,,false,Great_White_Pelican
Greater horseshoe bat,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,,Rhinolophus ferrumequinum,rhinolophus_ferrumequinum.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Grand_Rhinolophe_2.jpg/220px-Grand_Rhinolophe_2.jpg,images/rhinolophus_ferrumequinum,japan,,,false,Greater_Horseshoe_Bat
Greater sand plover,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius leschenaultii,,Charadrius leschenaultii,charadrius_leschenaultii.html,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Greater_Sand_Plover.jpg/220px-Greater_Sand_Plover.jpg,images/charadrius_leschenaultii,,,,false,Greater_Sand_Plover
Greater scaup,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya marila,,Aythya marila,aythya_marila.html,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Greater-scaup-male2.jpg/220px-Greater-scaup-male2.jpg,images/aythya_marila,japan,,,false,Greater_Scaup
Greater spotted eagle,Vulnerable,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Aquila,Aquila clanga,,Aquila clanga,aquila_clanga.html,//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Greater_spotted_eagle.jpg/240px-Greater_spotted_eagle.jpg,images/aquila_clanga,cameroon|guinea|madagascar,,,false,Greater_Spotted_Eagle
Greater tube-nosed bat,Least Concern,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Murina,Murina leucogaster,,Murina leucogaster,murina_leucogaster.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Murina_leucogaster.jpg/220px-Murina_leucogaster.jpg,images/murina_leucogaster,,,,false,Greater_Tube-Nosed_Bat
Greater yellowlegs,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa melanoleuca,,Tringa melanoleuca,tringa_melanoleuca.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Greater_Yellowlegs2.jpg/220px-Greater_Yellowlegs2.jpg,images/tringa_melanoleuca,,,,false,Greater_Yellowlegs
Green pheasant,Least Concern,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Phasianus versicolor,,Phasianus versicolor,phasianus_versicolor.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Phasianus_versicolor_in_field.JPG/220px-Phasianus_versicolor_in_field.JPG,images/phasianus_versicolor,japan,,,true,Green_Pheasant
